iter	Passed	Remaining
0	16	16691
1	20	10418
2	24	8087
3	26	6572
4	29	5882
5	32	5364
6	36	5153
7	38	4815
8	41	4570
9	45	4520
10	48	4336
11	50	4174
12	52	3989
13	55	3897
14	56	3726
15	59	3683
16	62	3595
17	64	3535
18	67	3482
19	70	3437
20	71	3353
21	75	3349
22	77	3309
23	79	3245
24	82	3219
25	85	3196
26	87	3139
27	90	3128
28	91	3057
29	92	3005
30	95	2975
31	97	2956
32	100	2931
33	103	2940
34	106	2927
35	107	2883
36	110	2865
37	112	2852
38	115	2839
39	118	2836
40	120	2826
41	123	2808
42	126	2804
43	128	2794
44	131	2800
45	135	2800
46	137	2790
47	140	2776
48	142	2769
49	145	2773
50	149	2774
51	152	2772
52	155	2771
53	156	2744
54	159	2738
55	161	2718
56	164	2722
57	167	2726
58	170	2723
59	174	2730
60	178	2753
61	182	2759
62	185	2762
63	188	2760
64	193	2780
65	197	2789
66	200	2785
67	202	2782
68	207	2800
69	210	2800
70	213	2787
71	216	2787
72	219	2781
73	224	2805
74	227	2801
75	229	2794
76	233	2796
77	237	2810
78	239	2797
79	242	2792
80	245	2781
81	246	2762
82	250	2764
83	253	2758
84	255	2752
85	258	2749
86	261	2743
87	266	2762
88	269	2762
89	273	2763
90	275	2751
91	278	2745
92	281	2745
93	284	2744
94	286	2727
95	288	2720
96	291	2718
97	296	2731
98	299	2728
99	302	2723
100	305	2720
101	310	2730
102	312	2723
103	315	2716
104	317	2709
105	320	2704
106	324	2704
107	329	2718
108	332	2716
109	335	2714
110	338	2712
111	342	2712
112	344	2703
113	346	2695
114	348	2683
115	351	2677
116	356	2692
117	359	2690
118	362	2685
119	365	2682
120	369	2685
121	371	2675
122	375	2677
123	378	2671
124	380	2663
125	384	2665
126	386	2658
127	388	2649
128	390	2639
129	393	2631
130	395	2623
131	398	2622
132	401	2615
133	403	2609
134	406	2602
135	407	2591
136	410	2584
137	414	2587
138	417	2588
139	419	2577
140	422	2571
141	424	2564
142	427	2559
143	429	2555
144	432	2548
145	434	2541
146	436	2533
147	438	2526
148	441	2520
149	444	2518
150	447	2513
151	449	2507
152	452	2503
153	453	2490
154	455	2485
155	458	2480
156	461	2479
157	463	2471
158	466	2466
159	468	2460
160	472	2460
161	474	2456
162	476	2449
163	479	2444
164	481	2436
165	484	2432
166	487	2430
167	489	2425
168	490	2414
169	493	2408
170	495	2401
171	498	2400
172	502	2400
173	505	2401
174	509	2399
175	511	2396
176	514	2393
177	517	2390
178	520	2387
179	523	2383
180	525	2377
