iter	Passed	Remaining
0	231	22902
1	282	13818
2	315	10198
3	351	8445
4	401	7627
5	439	6890
6	480	6386
7	523	6017
8	566	5723
9	622	5602
10	680	5504
11	725	5322
12	775	5186
13	818	5026
14	871	4936
15	922	4841
16	961	4694
17	1012	4613
18	1093	4663
19	1144	4579
20	1192	4486
21	1255	4451
22	1304	4366
23	1342	4252
24	1388	4165
25	1438	4093
26	1476	3992
27	1531	3937
28	1567	3837
29	1607	3751
30	1647	3667
31	1706	3626
32	1753	3559
33	1795	3485
34	1837	3411
35	1885	3352
36	1928	3283
37	1963	3203
38	1998	3126
39	2029	3044
40	2061	2966
41	2102	2903
42	2167	2872
43	2220	2825
44	2276	2782
45	2346	2754
46	2424	2734
47	2466	2672
48	2504	2606
49	2546	2546
50	2593	2491
51	2626	2424
52	2669	2367
53	2709	2308
54	2772	2268
55	2831	2224
56	2901	2189
57	2946	2133
58	3005	2088
59	3071	2047
60	3131	2001
61	3194	1957
62	3404	1999
63	3465	1949
64	3525	1898
65	3583	1846
66	3635	1790
67	3709	1745
68	3753	1686
69	3790	1624
70	3831	1564
71	3901	1517
72	3947	1460
73	3994	1403
74	4044	1348
75	4106	1296
76	4208	1257
77	4249	1198
78	4306	1144
79	4354	1088
80	4441	1041
81	4524	993
82	4604	943
83	4689	893
84	4793	845
85	4840	788
86	4894	731
87	4946	674
88	5036	622
89	5078	564
90	5220	516
91	5354	465
92	5466	411
93	5567	355
94	5788	304
95	5911	246
96	6052	187
97	6151	125
98	6206	62
99	6318	0
